,_id,iterationName,eventType,finalCount,gameID,workerID,assignmentID,hitID,prolificID,studyID,sessionID,score,totalScore,trialNum,sectionTrial,cardinality,base,target,response,correct,take,distractions,trialStartTime,takeStartTime,trialTime,takeTime,RT,writingTime,initTime,endTime,gender,age,comments,understood,totalLength,distracted,distractedGame,failedGame,failedOutlier,complete,nonsenseGame
42,61e0509eaa09f84b60e4b05b,run1,quiz,False,G3,,,,60e87324309700b7d549d491,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$0.24,24.0,8.0,3.0,3.0,5,he,he,1.0,0.0,{},1642090652841.0,1642090652841.0,1640.0,1640.0,1293,347.0,1642090619434.0,1642090654481.0,,,,,,False,False,False,False,True,False
44,61e0509eaa09f84b60e4b05d,run1,tutorial,False,G7,,,,6166d95a22c741fea351f906,61df8999cc7c1c6984f5f11d,61e0503a92a79e2ccaa7c81c,$0,0.0,1.0,1.0,1.0,5,ne,ne,1.0,0.0,{},1642090628632.0,1642090628632.0,24188.0,24188.0,22628,1560.0,1642090626149.0,1642090652820.0,,,,,,False,False,False,False,True,False
45,61e050a0aa09f84b60e4b05e,run1,quiz,False,G6,,,,5aff493f331e8100018f130d,61df8999cc7c1c6984f5f11d,61e0502c337b071611866160,$0.03,3.0,1.0,1.0,1.0,4,nu,nu,1.0,0.0,{},1642090648105.0,1642090648105.0,6840.0,6840.0,4315,2525.0,1642090636188.0,1642090654945.0,,,,,,False,False,False,False,True,False
46,61e050a0aa09f84b60e4b05f,run1,quiz,False,G5,,,,5e19e3a846ef8226677f05ab,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$0.18,18.0,6.0,1.0,1.0,4,na,na,1.0,0.0,{},1642090653870.0,1642090653870.0,1463.0,1463.0,854,609.0,1642090628729.0,1642090655333.0,,,,,,False,False,False,False,True,False
47,61e050a0aa09f84b60e4b060,run1,quiz,False,G2,,,,608926794eed2203be5574ee,61df8999cc7c1c6984f5f11d,61e05001cad36d19f0c15718,$0.18,18.0,6.0,1.0,1.0,2,no,no,1.0,0.0,{},1642090651310.0,1642090651310.0,4970.0,4971.0,3001,1970.0,1642090597389.0,1642090656281.0,,,,,,False,False,False,False,True,False
49,61e050a2aa09f84b60e4b062,run1,quiz,False,G7,,,,6166d95a22c741fea351f906,61df8999cc7c1c6984f5f11d,61e0503a92a79e2ccaa7c81c,$0.03,3.0,1.0,1.0,1.0,5,ne,ne,1.0,0.0,{},1642090653826.0,1642090653826.0,2815.0,2815.0,1823,992.0,1642090626149.0,1642090656641.0,,,,,,False,False,False,False,True,False
50,61e050a2aa09f84b60e4b063,run1,quiz,False,G5,,,,5e19e3a846ef8226677f05ab,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$0.21,21.0,7.0,2.0,2.0,4,ki,ki,1.0,0.0,{},1642090656346.0,1642090656346.0,1371.0,1371.0,858,513.0,1642090628729.0,1642090657717.0,,,,,,False,False,False,False,True,False
51,61e050a5aa09f84b60e4b064,run1,quiz,False,G5,,,,5e19e3a846ef8226677f05ab,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$0.24,24.0,8.0,3.0,3.0,4,tu,tu,1.0,0.0,{},1642090658731.0,1642090658731.0,1402.0,1402.0,753,649.0,1642090628729.0,1642090660133.0,,,,,,False,False,False,False,True,False
52,61e050a5aa09f84b60e4b065,run1,quiz,False,G2,,,,608926794eed2203be5574ee,61df8999cc7c1c6984f5f11d,61e05001cad36d19f0c15718,$0.21,21.0,7.0,2.0,2.0,2,ta,ta,1.0,0.0,{},1642090657285.0,1642090657285.0,4012.0,4012.0,1874,2138.0,1642090597389.0,1642090661297.0,,,,,,False,False,False,False,True,False
53,61e050a5aa09f84b60e4b066,run1,tutorial,False,G7,,,,6166d95a22c741fea351f906,61df8999cc7c1c6984f5f11d,61e0503a92a79e2ccaa7c81c,$0.03,3.0,2.0,2.0,2.0,5,to,to,1.0,0.0,{},1642090657644.0,1642090657644.0,2636.0,2636.0,1783,853.0,1642090626149.0,1642090660280.0,,,,,,False,False,False,False,True,False
55,61e050a7aa09f84b60e4b068,run1,tutorial,False,G6,,,,5aff493f331e8100018f130d,61df8999cc7c1c6984f5f11d,61e0502c337b071611866160,$0.03,3.0,2.0,2.0,2.0,4,he,he,1.0,0.0,{},1642090655966.0,1642090655966.0,5767.0,5767.0,3270,2497.0,1642090636188.0,1642090661733.0,,,,,,False,False,False,False,True,False
56,61e050a9aa09f84b60e4b069,run1,quiz,False,G7,,,,6166d95a22c741fea351f906,61df8999cc7c1c6984f5f11d,61e0503a92a79e2ccaa7c81c,$0.06,6.0,2.0,2.0,2.0,5,to,to,1.0,0.0,{},1642090661282.0,1642090661282.0,2462.0,2462.0,1325,1137.0,1642090626149.0,1642090663744.0,,,,,,False,False,False,False,True,False
57,61e050aaaa09f84b60e4b06a,run1,tutorial,False,G5,,,,5e19e3a846ef8226677f05ab,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$0.24,24.0,9.0,4.0,4.0,4,se,se,1.0,0.0,{},1642090661136.0,1642090661136.0,3661.0,3661.0,2948,713.0,1642090628729.0,1642090664797.0,,,,,,False,False,False,False,True,False
59,61e050aaaa09f84b60e4b06c,run1,quiz,False,G2,,,,608926794eed2203be5574ee,61df8999cc7c1c6984f5f11d,61e05001cad36d19f0c15718,$0.24,24.0,8.0,3.0,3.0,2,ta-no,tano,1.0,0.0,{},1642090662302.0,1642090662302.0,3779.0,3779.0,1620,2159.0,1642090597389.0,1642090666081.0,,,,,,False,False,False,False,True,False
60,61e050acaa09f84b60e4b06d,run1,quiz,False,G5,,,,5e19e3a846ef8226677f05ab,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$0.27,27.0,9.0,4.0,4.0,4,se,se,1.0,0.0,{},1642090665800.0,1642090665800.0,1149.0,1149.0,604,545.0,1642090628729.0,1642090666949.0,,,,,,False,False,False,False,True,False
61,61e050acaa09f84b60e4b06e,run1,quiz,False,G6,,,,5aff493f331e8100018f130d,61df8999cc7c1c6984f5f11d,61e0502c337b071611866160,$0.06,6.0,2.0,2.0,2.0,4,he,he,1.0,0.0,{},1642090662755.0,1642090662755.0,4378.0,4378.0,2600,1778.0,1642090636188.0,1642090667133.0,,,,,,False,False,False,False,True,False
62,61e050acaa09f84b60e4b06f,run1,quiz,False,G7,,,,6166d95a22c741fea351f906,61df8999cc7c1c6984f5f11d,61e0503a92a79e2ccaa7c81c,$0.09,9.0,3.0,1.0,1.0,5,ne,ne,1.0,0.0,{},1642090664747.0,1642090664747.0,2079.0,2079.0,1165,914.0,1642090626149.0,1642090666827.0,,,,,,False,False,False,False,True,False
64,61e050aeaa09f84b60e4b071,run1,quiz,False,G5,,,,5e19e3a846ef8226677f05ab,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$0.3,30.0,10.0,1.0,1.0,4,na,na,1.0,0.0,{},1642090667952.0,1642090667952.0,1221.0,1221.0,805,416.0,1642090628729.0,1642090669173.0,,,,,,False,False,False,False,True,False
66,61e050afaa09f84b60e4b073,run1,quiz,False,G7,,,,6166d95a22c741fea351f906,61df8999cc7c1c6984f5f11d,61e0503a92a79e2ccaa7c81c,$0.12,12.0,4.0,2.0,2.0,5,to,to,1.0,0.0,{},1642090667829.0,1642090667829.0,1977.0,1977.0,1006,971.0,1642090626149.0,1642090669806.0,,,,,,False,False,False,False,True,False
67,61e050b0aa09f84b60e4b074,run1,quiz,False,G5,,,,5e19e3a846ef8226677f05ab,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$0.3,30.0,11.0,2.0,2.0,4,ki,ke,0.0,0.0,{},1642090670177.0,1642090670177.0,1277.0,1277.0,316,961.0,1642090628729.0,1642090671454.0,,,,,,False,False,False,False,True,False
69,61e050b3aa09f84b60e4b076,run1,quiz,False,G6,,,,5aff493f331e8100018f130d,61df8999cc7c1c6984f5f11d,61e0502c337b071611866160,$0.09,9.0,3.0,1.0,1.0,4,nu,nu,1.0,0.0,{},1642090668149.0,1642090668149.0,5884.0,5884.0,3479,2405.0,1642090636188.0,1642090674033.0,,,,,,False,False,False,False,True,False
71,61e050b4aa09f84b60e4b078,run1,tutorial,False,G8,,,,5ec43aa746bca211b1c11016,61df8999cc7c1c6984f5f11d,61e0502413f7285ab3af7ba5,$0,0.0,1.0,1.0,1.0,5,ho,ho,1.0,0.0,{},1642090666039.0,1642090666039.0,10469.0,10469.0,8319,2150.0,1642090662014.0,1642090676509.0,,,,,,False,False,False,False,True,False
72,61e050b4aa09f84b60e4b079,run1,tutorial,False,G7,,,,6166d95a22c741fea351f906,61df8999cc7c1c6984f5f11d,61e0503a92a79e2ccaa7c81c,$0.12,12.0,5.0,3.0,3.0,5,ha,ha,1.0,0.0,{},1642090670808.0,1642090670808.0,4428.0,4428.0,3192,1236.0,1642090626149.0,1642090675236.0,,,,,,False,False,False,False,True,False
73,61e050b5aa09f84b60e4b07a,run1,tutorial,False,G3,,,,60e87324309700b7d549d491,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$0.24,24.0,9.0,4.0,4.0,5,so,so,1.0,0.0,{},1642090655485.0,1642090655485.0,21835.0,21835.0,21288,547.0,1642090619434.0,1642090677320.0,,,,,,False,False,False,False,True,False
75,61e050b7aa09f84b60e4b07c,run1,quiz,False,G5,,,,5e19e3a846ef8226677f05ab,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$0.3,30.0,11.0,2.0,2.0,4,ki,ke,0.0,1.0,{},1642090670177.0,1642090671457.0,7781.0,6501.0,4892,1609.0,1642090628729.0,1642090677958.0,,,,,,False,False,False,False,True,False
76,61e050b7aa09f84b60e4b07d,run1,quiz,False,G3,,,,60e87324309700b7d549d491,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$0.27,27.0,9.0,4.0,4.0,5,so,so,1.0,0.0,{},1642090678323.0,1642090678323.0,1221.0,1221.0,844,377.0,1642090619434.0,1642090679544.0,,,,,,False,False,False,False,True,False
79,61e050b8aa09f84b60e4b080,run1,quiz,False,G5,,,,5e19e3a846ef8226677f05ab,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$0.31,31.0,11.0,2.0,2.0,4,ki,ki,1.0,2.0,{},1642090670177.0,1642090677959.0,9157.0,1375.0,862,513.0,1642090628729.0,1642090679334.0,,,,,,False,False,False,False,True,False
80,61e050b8aa09f84b60e4b081,run1,quiz,False,G6,,,,5aff493f331e8100018f130d,61df8999cc7c1c6984f5f11d,61e0502c337b071611866160,$0.12,12.0,4.0,2.0,2.0,4,he,he,1.0,0.0,{},1642090675058.0,1642090675058.0,4275.0,4275.0,2255,2020.0,1642090636188.0,1642090679333.0,,,,,,False,False,False,False,True,False
81,61e050baaa09f84b60e4b082,run1,quiz,False,G3,,,,60e87324309700b7d549d491,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$0.3,30.0,10.0,1.0,1.0,5,ti,ti,1.0,0.0,{},1642090680548.0,1642090680548.0,1758.0,1758.0,919,839.0,1642090619434.0,1642090682306.0,,,,,,False,False,False,False,True,False
82,61e050baaa09f84b60e4b083,run1,quiz,False,G8,,,,5ec43aa746bca211b1c11016,61df8999cc7c1c6984f5f11d,61e0502413f7285ab3af7ba5,$0.03,3.0,1.0,1.0,1.0,5,ho,ho,1.0,0.0,{},1642090677527.0,1642090677527.0,4670.0,4670.0,3454,1216.0,1642090662014.0,1642090682197.0,,,,,,False,False,False,False,True,False
83,61e050bbaa09f84b60e4b084,run1,quiz,False,G5,,,,5e19e3a846ef8226677f05ab,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$0.34,34.0,12.0,3.0,3.0,4,tu,tu,1.0,0.0,{},1642090680337.0,1642090680337.0,1862.0,1862.0,996,866.0,1642090628729.0,1642090682199.0,,,,,,False,False,False,False,True,False
85,61e050bdaa09f84b60e4b086,run1,quiz,False,G5,,,,5e19e3a846ef8226677f05ab,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$0.37,37.0,13.0,4.0,4.0,4,se,se,1.0,0.0,{},1642090683201.0,1642090683201.0,1061.0,1061.0,412,649.0,1642090628729.0,1642090684262.0,,,,,,False,False,False,False,True,False
86,61e050bdaa09f84b60e4b087,run1,quiz,False,G3,,,,60e87324309700b7d549d491,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$0.33,33.0,11.0,2.0,2.0,5,nu,nu,1.0,0.0,{},1642090683310.0,1642090683310.0,2481.0,2481.0,1666,815.0,1642090619434.0,1642090685791.0,,,,,,False,False,False,False,True,False
90,61e050c0aa09f84b60e4b08b,run1,quiz,False,G3,,,,60e87324309700b7d549d491,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$0.36,36.0,12.0,3.0,3.0,5,he,he,1.0,0.0,{},1642090686795.0,1642090686795.0,1848.0,1848.0,934,914.0,1642090619434.0,1642090688644.0,,,,,,False,False,False,False,True,False
91,61e050c1aa09f84b60e4b08c,run1,tutorial,False,G6,,,,5aff493f331e8100018f130d,61df8999cc7c1c6984f5f11d,61e0502c337b071611866160,$0.12,12.0,5.0,3.0,3.0,4,sa,sa,1.0,0.0,{},1642090680345.0,1642090680345.0,8344.0,8344.0,3454,4890.0,1642090636188.0,1642090688689.0,,,,,,False,False,False,False,True,False
92,61e050c2aa09f84b60e4b08d,run1,tutorial,False,G5,,,,5e19e3a846ef8226677f05ab,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$0.37,37.0,14.0,5.0,5.0,4,se-na,sena,1.0,0.0,{},1642090685265.0,1642090685265.0,3789.0,3789.0,1924,1865.0,1642090628729.0,1642090689054.0,,,,,,False,False,False,False,True,False
93,61e050c2aa09f84b60e4b08e,run1,quiz,False,G3,,,,60e87324309700b7d549d491,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$0.39,39.0,13.0,4.0,4.0,5,so,so,1.0,0.0,{},1642090689647.0,1642090689647.0,1445.0,1445.0,256,1189.0,1642090619434.0,1642090691092.0,,,,,,False,False,False,False,True,False
96,61e050c4aa09f84b60e4b091,run1,tutorial,False,G8,,,,5ec43aa746bca211b1c11016,61df8999cc7c1c6984f5f11d,61e0502413f7285ab3af7ba5,$0.03,3.0,2.0,2.0,2.0,5,ne,ne,1.0,0.0,{},1642090683223.0,1642090683223.0,9134.0,9134.0,6895,2239.0,1642090662014.0,1642090692357.0,,,,,,False,False,False,False,True,False
98,61e050c5aa09f84b60e4b093,run1,quiz,False,G5,,,,5e19e3a846ef8226677f05ab,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$0.4,40.0,14.0,5.0,5.0,4,se-na,sena,1.0,0.0,{},1642090690057.0,1642090690057.0,1893.0,1893.0,797,1096.0,1642090628729.0,1642090691950.0,,,,,,False,False,False,False,True,False
100,61e050c6aa09f84b60e4b095,run1,quiz,False,G6,,,,5aff493f331e8100018f130d,61df8999cc7c1c6984f5f11d,61e0502c337b071611866160,$0.15,15.0,5.0,3.0,3.0,4,sa,sa,1.0,0.0,{},1642090689705.0,1642090689705.0,3408.0,3408.0,2124,1284.0,1642090636188.0,1642090693113.0,,,,,,False,False,False,False,True,False
102,61e050c7aa09f84b60e4b097,run1,quiz,False,G5,,,,5e19e3a846ef8226677f05ab,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$0.43,43.0,15.0,1.0,1.0,4,na,na,1.0,0.0,{},1642090692952.0,1642090692952.0,926.0,926.0,509,417.0,1642090628729.0,1642090693878.0,,,,,,False,False,False,False,True,False
103,61e050c7aa09f84b60e4b098,run1,tutorial,False,G3,,,,60e87324309700b7d549d491,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$0.39,39.0,14.0,5.0,5.0,5,ka,ka,1.0,0.0,{},1642090692096.0,1642090692096.0,4074.0,4074.0,3591,483.0,1642090619434.0,1642090696170.0,,,,,,False,False,False,False,True,False
105,61e050c8aa09f84b60e4b09a,run1,quiz,False,G5,,,,5e19e3a846ef8226677f05ab,61df8999cc7c1c6984f5f11d,61e0502b5d5c43ac54465f14,$0.46,46.0,16.0,2.0,2.0,4,ki,ki,1.0,0.0,{},1642090694881.0,1642090694881.0,861.0,861.0,316,545.0,1642090628729.0,1642090695742.0,,,,,,False,False,False,False,True,False
106,61e050c9aa09f84b60e4b09b,run1,quiz,False,G3,,,,60e87324309700b7d549d491,61df8999cc7c1c6984f5f11d,61e0501bfd26a345e8c26caa,$0.42,42.0,14.0,5.0,5.0,5,ka,ka,1.0,0.0,{},1642090697174.0,1642090697174.0,629.0,629.0,258,371.0,1642090619434.0,1642090697803.0,,,,,,False,False,False,False,True,False
107,61e050c9aa09f84b60e4b09c,run1,quiz,False,G8,,,,5ec43aa746bca211b1c11016,61df8999cc7c1c6984f5f11d,61e0502413f7285ab3af7ba5,$0.06,6.0,2.0,2.0,2.0,5,ne,ne,1.0,0.0,{},1642090693365.0,1642090693365.0,4336.0,4336.0,1872,2464.0,1642090662014.0,1642090697701.0,,,,,,False,False,False,False,True,False
